,,Output Data,Output Data,Output Data,Output Data,Output Data,Confidence Score,Confidence Score,Confidence Score,Confidence Score,Confidence Score,
,Filename,Far Below Average,Below Average,Average,Above Average,Far Above Average,Far Below Average,Below Average,Average,Above Average,Far Above Average,Weighted Score
0,1113_MZP2_Page_20.jpg,206.0,30.0,4.0,7.0,9.0,80.46875,11.71875,1.5625,2.734375,3.515625,1.37109375
1,12102021111421-0012.jpg,15.0,17.0,69.0,115.0,41.0,5.836575875486381,6.614785992217899,26.848249027237355,44.74708171206226,15.953307392996107,3.583657587548638
2,1311 cropped_Page_02.jpg,29.0,49.0,137.0,23.0,18.0,11.328125,19.140625,53.515625,8.984375,7.03125,2.8125
3,cropped Val7 C-D.png,3.0,79.0,11.0,11.0,151.0,1.1764705882352942,30.980392156862745,4.313725490196078,4.313725490196078,59.21568627450981,3.8941176470588235
4,FAAzoomc_Page_4.jpg,27.0,10.0,24.0,10.0,186.0,10.505836575875486,3.8910505836575875,9.33852140077821,3.8910505836575875,72.37354085603113,4.237354085603113
5,K1 1112 cropped c_Page_05.jpg,3.0,18.0,14.0,209.0,12.0,1.171875,7.03125,5.46875,81.640625,4.6875,3.81640625
6,K1 2132 AA cropped d_Page_04.jpg,10.0,10.0,147.0,68.0,21.0,3.90625,3.90625,57.421875,26.5625,8.203125,3.3125
7,k1 2142 cropped b_Page_08.jpg,157.0,64.0,7.0,16.0,12.0,61.328125,25.0,2.734375,6.25,4.6875,1.6796875
8,K2 1111 cropped_Page_20.jpg,16.0,7.0,16.0,205.0,12.0,6.25,2.734375,6.25,80.078125,4.6875,3.7421875
9,K4 1111 cropped b_Page_07.jpg,3.0,237.0,4.0,4.0,6.0,1.1811023622047243,93.30708661417323,1.574803149606299,1.574803149606299,2.3622047244094486,2.106299212598425
10,K4 1212 cropped d_Page_2.jpg,160.0,20.0,39.0,16.0,20.0,62.745098039215684,7.8431372549019605,15.294117647058824,6.2745098039215685,7.8431372549019605,1.8862745098039215
11,K4 1311 cropped c_Page_02.jpg,30.0,210.0,3.0,6.0,7.0,11.71875,82.03125,1.171875,2.34375,2.734375,2.0234375
12,k5 1135 cropped_Page_07.jpg,7.0,4.0,2.0,223.0,19.0,2.7450980392156863,1.5686274509803921,0.7843137254901961,87.45098039215686,7.450980392156863,3.9529411764705884
13,K5 1164 cropped_Page_05.jpg,13.0,9.0,10.0,5.0,219.0,5.078125,3.515625,3.90625,1.953125,85.546875,4.59375
14,k5 1202 cropped c_Page_08.jpg,45.0,187.0,7.0,4.0,13.0,17.578125,73.046875,2.734375,1.5625,5.078125,2.03515625
15,k5 2133 c_Page_2.jpg,5.0,4.0,13.0,222.0,11.0,1.9607843137254901,1.5686274509803921,5.098039215686274,87.05882352941177,4.313725490196078,3.901960784313726
16,K5 2133 FAA cropped c_Page_12.jpg,1.0,2.0,2.0,2.0,250.0,0.38910505836575876,0.7782101167315175,0.7782101167315175,0.7782101167315175,97.27626459143968,4.937743190661479
17,K6 1133 cropped b_Page_04.jpg,11.0,233.0,1.0,6.0,6.0,4.280155642023346,90.6614785992218,0.38910505836575876,2.3346303501945527,2.3346303501945527,2.077821011673152
18,K6 2132 FAA cropped_Page_3.jpg,2.0,4.0,8.0,2.0,239.0,0.7843137254901961,1.5686274509803921,3.1372549019607843,0.7843137254901961,93.72549019607843,4.850980392156862
19,k6 2133 b.jpg,6.0,8.0,10.0,227.0,4.0,2.3529411764705883,3.1372549019607843,3.9215686274509802,89.01960784313725,1.5686274509803921,3.843137254901961
20,Mare FAA d_Page_05.jpg,21.0,11.0,7.0,5.0,212.0,8.203125,4.296875,2.734375,1.953125,82.8125,4.46875
21,Mare FAA_Page_08.jpg,8.0,3.0,2.0,2.0,240.0,3.1372549019607843,1.1764705882352942,0.7843137254901961,0.7843137254901961,94.11764705882352,4.815686274509804
22,Scores I cropped b_Page_11.jpg,1.0,1.0,1.0,2.0,251.0,0.390625,0.390625,0.390625,0.78125,98.046875,4.95703125
23,TCT178A_55.jpg,54.0,15.0,61.0,37.0,90.0,21.011673151750973,5.836575875486381,23.73540856031128,14.396887159533073,35.019455252918284,3.365758754863813
24,TCT180A_56.jpg,47.0,4.0,5.0,4.0,196.0,18.359375,1.5625,1.953125,1.5625,76.5625,4.1640625
25,TCT239C_10.jpg,218.0,15.0,8.0,7.0,9.0,84.8249027237354,5.836575875486381,3.11284046692607,2.7237354085603114,3.501945525291829,1.3424124513618678
26,TCT247A_49.jpg,90.0,15.0,28.0,54.0,69.0,35.15625,5.859375,10.9375,21.09375,26.953125,2.98828125
27,TCT258B_41.jpg,11.0,8.0,14.0,20.0,204.0,4.280155642023346,3.11284046692607,5.447470817120623,7.782101167315175,79.37743190661479,4.54863813229572
28,TCT273D_46.jpg,8.0,15.0,7.0,9.0,218.0,3.11284046692607,5.836575875486381,2.7237354085603114,3.501945525291829,84.8249027237354,4.610894941634241
29,TCT291C_36.jpg,94.0,14.0,43.0,49.0,56.0,36.71875,5.46875,16.796875,19.140625,21.875,2.83984375
30,TCT40A_20.jpg,12.0,200.0,26.0,8.0,10.0,4.6875,78.125,10.15625,3.125,3.90625,2.234375
31,TCT54C_6.jpg,233.0,4.0,7.0,4.0,7.0,91.37254901960785,1.5686274509803921,2.7450980392156863,1.5686274509803921,2.7450980392156863,1.2274509803921567
32,TCT64B_11.jpg,214.0,10.0,7.0,8.0,19.0,82.94573643410853,3.875968992248062,2.7131782945736433,3.10077519379845,7.3643410852713185,1.4806201550387599
33,Val7 C-D.jpg,53.0,36.0,47.0,41.0,78.0,20.784313725490197,14.117647058823529,18.43137254901961,16.07843137254902,30.58823529411765,3.215686274509804
34,Val7 C-D_2.bmp,7.0,66.0,5.0,51.0,126.0,2.7450980392156863,25.882352941176475,1.9607843137254901,20.0,49.411764705882355,3.874509803921569
